Al,"23/02/2024"
 
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
"012330","HYUNDAI MOBIS LTD","Consumi Discrezionali","Azionario","26.218.130,05","0,13","26.218.130,05","141.286,00","185,57","Corea","Korea Exchange (Stock Market)","KRW"
"2357","ASUSTEK COMPUTER INC","IT","Azionario","25.975.482,28","0,13","25.975.482,28","1.730.000,00","15,01","Taiwan","Taiwan Stock Exchange","TWD"
"3034","NOVATEK MICROELECTRONICS CORP","IT","Azionario","25.941.905,03","0,13","25.941.905,03","1.412.000,00","18,37","Taiwan","Taiwan Stock Exchange","TWD"
"2884","E.SUN FINANCIAL HOLDING LTD","Finanziari","Azionario","25.816.749,68","0,13","25.816.749,68","33.402.007,00","0,77","Taiwan","Taiwan Stock Exchange","TWD"
"1109","CHINA RESOURCES LAND-500 LTD","Immobili","Azionario","25.649.550,14","0,13","25.649.550,14","7.748.739,00","3,31","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"MAYBANK","MALAYAN BANKING","Finanziari","Azionario","25.576.505,29","0,13","25.576.505,29","12.821.800,00","1,99","Malesia","Bursa Malaysia","MYR"
"1150","ALINMA BANK","Finanziari","Azionario","25.290.143,18","0,13","25.290.143,18","2.131.476,00","11,87","Arabia Saudita","Saudi Stock Exchange","SAR"
"1010","RIYAD BANK","Finanziari","Azionario","25.057.226,96","0,13","25.057.226,96","3.066.138,00","8,17","Arabia Saudita","Saudi Stock Exchange","SAR"
"207940","SAMSUNG BIOLOGICS LTD","Salute","Azionario","24.946.236,43","0,13","24.946.236,43","40.792,00","611,55","Corea","Korea Exchange (Stock Market)","KRW"
"NESTLEIND","NESTLE INDIA LTD","Generi di largo consumo","Azionario","24.916.653,29","0,13","24.916.653,29","801.410,00","31,09","India","National Stock Exchange Of India","INR"
"WEGE3","WEG SA","Industriali","Azionario","24.487.195,27","0,12","24.487.195,27","3.396.016,00","7,21","Brasile","XBSP","BRL"
"ABEV3","AMBEV SA","Generi di largo consumo","Azionario","24.483.165,10","0,12","24.483.165,10","9.477.777,00","2,58","Brasile","XBSP","BRL"
"ZOMATO","ZOMATO LTD","Consumi Discrezionali","Azionario","24.369.227,02","0,12","24.369.227,02","12.322.020,00","1,98","India","National Stock Exchange Of India","INR"
"ONGC","OIL AND NATURAL GAS LTD","Energia","Azionario","23.821.562,49","0,12","23.821.562,49","7.259.363,00","3,28","India","National Stock Exchange Of India","INR"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Finanziari","Azionario","23.815.025,07","0,12","23.815.025,07","11.514.980,00","2,07","Brasile","XBSP","BRL"
"PTT.R","PTT NON-VOTING DR PCL","Energia","Azionario","23.519.268,85","0,12","23.519.268,85","23.589.500,00","1,00","Tailandia","Stock Exchange Of Thailand","THB"
"3231","WISTRON CORP","IT","Azionario","23.138.959,36","0,12","23.138.959,36","6.297.188,00","3,67","Taiwan","Taiwan Stock Exchange","TWD"
"PKN","ORLEN SA","Energia","Azionario","22.525.535,12","0,11","22.525.535,12","1.357.017,00","16,60","Polonia","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BEKE","KE HOLDINGS ADR REPRESENTING INC","Immobili","Azionario","22.430.904,16","0,11","22.430.904,16","1.586.344,00","14,14","Cina","New York Stock Exchange Inc.","USD"
"2628","CHINA LIFE INSURANCE LTD H","Finanziari","Azionario","22.276.161,75","0,11","22.276.161,75","17.088.000,00","1,30","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"2328","PICC PROPERTY AND CASUALTY LTD H","Finanziari","Azionario","22.246.342,59","0,11","22.246.342,59","16.267.690,00","1,37","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"CIPLA","CIPLA LTD","Salute","Azionario","22.225.426,63","0,11","22.225.426,63","1.257.228,00","17,68","India","National Stock Exchange Of India","INR"
"2892","FIRST FINANCIAL HOLDING LTD","Finanziari","Azionario","22.062.702,85","0,11","22.062.702,85","25.653.682,00","0,86","Taiwan","Taiwan Stock Exchange","TWD"
"2899","ZIJIN MINING GROUP LTD H","Materiali","Azionario","21.977.899,90","0,11","21.977.899,90","12.814.000,00","1,72","Cina","Hong Kong Exchanges And Clearing Ltd","HKD"
"QIBK","QATAR ISLAMIC BANK","Finanziari","Azionario","21.966.032,57","0,11","21.966.032,57","3.959.323,00","5,55","Qatar","Qatar Exchange","QAR"
"3661","ALCHIP TECHNOLOGIES LTD","IT","Azionario","21.866.387,91","0,11","21.866.387,91","177.000,00","123,54","Taiwan","Taiwan Stock Exchange","TWD"
"CPALL.R","CP ALL NON-VOTING DR PCL","Generi di largo consumo","Azionario","21.690.389,12","0,11","21.690.389,12","13.680.100,00","1,59","Tailandia","Stock Exchange Of Thailand","THB"
"EMIRATESNBD","EMIRATES NBD","Finanziari","Azionario","21.638.103,74","0,11","21.638.103,74","4.502.871,00","4,81","Emirati Arabi Uniti","Dubai Financial Market","AED"
"247540","ECOPRO BM LTD","Industriali","Azionario","21.606.068,52","0,11","21.606.068,52","116.197,00","185,94","Corea","Korea Exchange (Kosdaq)","KRW"
"2002","CHINA STEEL CORP","Materiali","Azionario","21.601.159,37","0,11","21.601.159,37","27.277.080,00","0,79","Taiwan","Taiwan Stock Exchange","TWD"
"BDMS.R","BANGKOK DUSIT MEDICAL SERVICES NON","Salute","Azionario","21.598.420,00","0,11","21.598.420,00","26.436.100,00","0,82","Tailandia","Stock Exchange Of Thailand","THB"
"1060","SAUDI AWWAL BANK","Finanziari","Azionario","21.486.270,36","0,11","21.486.270,36","2.066.263,00","10,40","Arabia Saudita","Saudi Stock Exchange","SAR"
"BEL","BHARAT ELECTRONICS LTD","Industriali","Azionario","21.347.593,95","0,11","21.347.593,95","8.625.343,00","2,47","India","National Stock Exchange Of India","INR"
"CPI","CAPITEC LTD","Finanziari","Azionario","21.259.955,37","0,11","21.259.955,37","199.523,00","106,55","Sud Africa","Johannesburg Stock Exchange","ZAR"
