Al,23/02/2024,,,,,,,,,,
 ,,,,,,,,,,,
Ticker dell'emittente,Nome,Settore,Asset Class,Valore di mercato,Ponderazione (%),Valore nozionale,Nominale,Prezzo,Area Geografica,Cambio,Valuta di mercato
ADI,ANALOG DEVICES INC,IT,Azionario,"108.327.339,54","0,15","108.327.339,54","569.814,00","190,11",Stati Uniti,NASDAQ,USD
SCHW,CHARLES SCHWAB CORP,Finanziari,Azionario,"108.215.187,48","0,15","108.215.187,48","1.679.317,00","64,44",Stati Uniti,New York Stock Exchange Inc.,USD
1299,AIA GROUP LTD,Finanziari,Azionario,"107.603.917,42","0,15","107.603.917,42","13.002.874,00","8,28",Hong Kong,Hong Kong Exchanges And Clearing Ltd,HKD
MU,MICRON TECHNOLOGY INC,IT,Azionario,"107.330.752,00","0,15","107.330.752,00","1.248.032,00","86,00",Stati Uniti,NASDAQ,USD
AIR,AIRBUS GROUP,Industriali,Azionario,"107.285.958,82","0,15","107.285.958,82","670.056,00","160,11",Francia,Nyse Euronext - Euronext Paris,EUR
FI,FISERV INC,Finanziari,Azionario,"105.665.874,88","0,15","105.665.874,88","700.888,00","150,76",Stati Uniti,New York Stock Exchange Inc.,USD
KLAC,KLA CORP,IT,Azionario,"104.957.922,60","0,15","104.957.922,60","156.930,00","668,82",Stati Uniti,NASDAQ,USD
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,IT,Azionario,"104.509.873,54","0,15","104.509.873,54","1.370.975,00","76,23",Canada,Toronto Stock Exchange,CAD
UBSG,UBS GROUP AG,Finanziari,Azionario,"103.904.524,83","0,14","103.904.524,83","3.703.280,00","28,06",Svizzera,SIX Swiss Exchange,CHF
GILD,GILEAD SCIENCES INC,Salute,Azionario,"101.424.273,20","0,14","101.424.273,20","1.378.984,00","73,55",Stati Uniti,NASDAQ,USD
CSL,CSL LTD,Salute,Azionario,"100.807.808,99","0,14","100.807.808,99","538.511,00","187,20",Australia,Asx - All Markets,AUD
ZTS,ZOETIS INC CLASS A,Salute,Azionario,"100.166.903,20","0,14","100.166.903,20","507.920,00","197,21",Stati Uniti,New York Stock Exchange Inc.,USD
TMUS,T MOBILE US INC,Comunicazione,Azionario,"99.715.267,08","0,14","99.715.267,08","606.762,00","164,34",Stati Uniti,NASDAQ,USD
6861,KEYENCE CORP,IT,Azionario,"99.705.505,03","0,14","99.705.505,03","215.804,00","462,02",Giappone,Tokyo Stock Exchange,JPY
SNPS,SYNOPSYS INC,IT,Azionario,"99.392.304,65","0,14","99.392.304,65","172.661,00","575,65",Stati Uniti,NASDAQ,USD
AMT,AMERICAN TOWER REIT CORP,Immobili,Azionario,"99.301.291,83","0,14","99.301.291,83","522.831,00","189,93",Stati Uniti,New York Stock Exchange Inc.,USD
BX,BLACKSTONE INC,Finanziari,Azionario,"98.146.292,80","0,14","98.146.292,80","784.480,00","125,11",Stati Uniti,New York Stock Exchange Inc.,USD
GSK,GLAXOSMITHKLINE,Salute,Azionario,"97.400.632,31","0,14","97.400.632,31","4.593.606,00","21,20",Regno unito,London Stock Exchange,GBP
PANW,PALO ALTO NETWORKS INC,IT,Azionario,"96.891.426,93","0,13","96.891.426,93","343.477,00","282,09",Stati Uniti,NASDAQ,USD
DGE,DIAGEO PLC,Generi di largo consumo,Azionario,"96.765.883,43","0,13","96.765.883,43","2.556.022,00","37,86",Regno unito,London Stock Exchange,GBP
WM,WASTE MANAGEMENT INC,Industriali,Azionario,"96.421.812,75","0,13","96.421.812,75","463.455,00","208,05",Stati Uniti,New York Stock Exchange Inc.,USD
REL,RELX PLC,Industriali,Azionario,"95.965.588,72","0,13","95.965.588,72","2.162.617,00","44,37",Regno unito,London Stock Exchange,GBP
CDNS,CADENCE DESIGN SYSTEMS INC,IT,Azionario,"95.686.618,38","0,13","95.686.618,38","315.246,00","303,53",Stati Uniti,NASDAQ,USD
